Departure Time,Departure Airport,Arrival Airport,Stop Airports,Duration,Airlines,Price,Info Date Save,Flight Date,Departure_Cod,Arrival_Cod,Valid Departure,Valid Arrival
15:10 – 16:50,BIOBilbao,CDGCharles de Gaulle,['directo'],100,Iberia,149,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
7:10 – 8:55,BIOBilbao,CDGCharles de Gaulle,['directo'],105,Air France,207,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
10:30 – 12:10,BIOBilbao,CDGCharles de Gaulle,['directo'],100,Air France,229,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
14:20 – 20:00,BIOBilbao,CDGCharles de Gaulle,['BCN'],340,Vueling,126,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
14:55 – 19:55,BIOBilbao,CDGCharles de Gaulle,['SVQ'],300,"Volotea, Vueling",163,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
13:55 – 19:20,BIOBilbao,CDGCharles de Gaulle,['LGW'],325,"Vueling, easyJet",148,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
13:55 – 20:20,BIOBilbao,CDGCharles de Gaulle,['LGW'],385,"Vueling, easyJet",141,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
14:20 – 20:05,BIOBilbao,CDGCharles de Gaulle,['BCN'],345,"Vueling, easyJet",170,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
13:40 – 18:00,BIOBilbao,CDGCharles de Gaulle,['MAD'],260,Iberia,246,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
18:35 – 23:30,BIOBilbao,CDGCharles de Gaulle,['MUC'],295,Lufthansa,234,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
13:55 – 21:20,BIOBilbao,CDGCharles de Gaulle,['LGW-LTN'],445,"Vueling, easyJet",150,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
11:35 – 17:25,BIOBilbao,CDGCharles de Gaulle,['MUC'],350,Lufthansa,234,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
6:45 – 13:40,BIOBilbao,CDGCharles de Gaulle,['FRA'],415,Lufthansa,242,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
8:50 – 15:00,BIOBilbao,CDGCharles de Gaulle,['AGP'],370,"Vueling, Air France",257,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
12:00 – 17:05,BIOBilbao,CDGCharles de Gaulle,['AMS'],305,KLM,326,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
14:05 – 21:25,BIOBilbao,CDGCharles de Gaulle,['FRA'],440,Lufthansa,242,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
6:50 – 12:55,BIOBilbao,CDGCharles de Gaulle,['AMS'],365,KLM,326,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
12:00 – 18:10,BIOBilbao,CDGCharles de Gaulle,['AMS'],370,KLM,326,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
7:00 – 13:40,BIOBilbao,CDGCharles de Gaulle,['CPH'],400,"Vueling, Scandinavian Airlines",289,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
11:35 – 19:20,BIOBilbao,CDGCharles de Gaulle,"['MUC', 'ZRH']",465,SWISS,270,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
15:55 – 20:00,BIOBilbao,CDGCharles de Gaulle,['BCN'],245,Iberia,424,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
6:50 – 11:55,BIOBilbao,CDGCharles de Gaulle,['AMS'],305,KLM,389,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
14:20 – 20:00,BIOBilbao,CDGCharles de Gaulle,['BCN'],340,Iberia,375,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
12:00 – 19:05,BIOBilbao,CDGCharles de Gaulle,['AMS'],425,KLM,326,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
6:45 – 13:45,BIOBilbao,CDGCharles de Gaulle,"['FRA', 'MUC']",420,Lufthansa,332,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
8:55 – 14:10,BIOBilbao,CDGCharles de Gaulle,['BCN'],315,Iberia,418,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
7:15 – 13:20,BIOBilbao,CDGCharles de Gaulle,['FCO'],365,"Volotea, ITA Airways",398,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
11:35 – 19:25,BIOBilbao,CDGCharles de Gaulle,"['MUC', 'LUX']",470,"Lufthansa, Luxair",355,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
13:40 – 18:45,BIOBilbao,CDGCharles de Gaulle,['MAD'],305,"Iberia, Air France",432,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
17:15 – 21:50,BIOBilbao,CDGCharles de Gaulle,['AMS'],275,KLM,488,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
7:40 – 14:10,BIOBilbao,CDGCharles de Gaulle,['BCN'],390,Iberia,481,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
13:40 – 20:50,BIOBilbao,CDGCharles de Gaulle,"['MAD', 'LHR']",430,British Airways,479,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
13:40 – 20:15,BIOBilbao,CDGCharles de Gaulle,"['MAD', 'NTE']",395,"Iberia, Air France",477,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
13:40 – 21:10,BIOBilbao,CDGCharles de Gaulle,"['MAD', 'AGP']",450,"Iberia, Air France",441,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
12:45 – 18:45,BIOBilbao,CDGCharles de Gaulle,['MAD'],360,Air Europa,588,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
13:50 – 21:25,BIOBilbao,CDGCharles de Gaulle,"['BRU', 'FRA']",455,"Brussels Airlines, Lufthansa",491,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
13:40 – 20:50,BIOBilbao,CDGCharles de Gaulle,"['MAD', 'LHR']",430,"Iberia, British Airways",547,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
13:40 – 19:50,BIOBilbao,CDGCharles de Gaulle,['MAD'],370,"Iberia, Air France",569,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
14:40 – 22:25,BIOBilbao,CDGCharles de Gaulle,"['DUS', 'VIE']",465,"Eurowings, Austrian Airlines",549,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
12:10 – 19:40,BIOBilbao,CDGCharles de Gaulle,"['LIS', 'SVQ']",450,"TAP AIR PORTUGAL, Air France",575,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
12:10 – 19:25,BIOBilbao,CDGCharles de Gaulle,['LIS'],435,"TAP AIR PORTUGAL, Air France",607,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
12:45 – 19:50,BIOBilbao,CDGCharles de Gaulle,['MAD'],425,Air Europa,681,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
17:40 – 23:45,BIOBilbao,CDGCharles de Gaulle,['MAD'],365,"Vueling, Iberia",702,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
14:05 – 18:35,BIOBilbao,CDGCharles de Gaulle,['FRA'],270,Lufthansa,819,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
14:05 – 21:20,BIOBilbao,CDGCharles de Gaulle,['FRA'],435,"Lufthansa, Air France",728,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
17:15 – 21:50,BIOBilbao,CDGCharles de Gaulle,['AMS'],275,"KLM, Air France",883,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
12:00 – 17:05,BIOBilbao,CDGCharles de Gaulle,['AMS'],305,"KLM, Air France",872,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
6:50 – 11:55,BIOBilbao,CDGCharles de Gaulle,['AMS'],305,"KLM, Air France",884,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
13:55 – 20:50,BIOBilbao,CDGCharles de Gaulle,['LGW-LHR'],415,"Iberia, British Airways",820,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
12:00 – 18:10,BIOBilbao,CDGCharles de Gaulle,['AMS'],370,"KLM, Air France",872,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
6:50 – 12:55,BIOBilbao,CDGCharles de Gaulle,['AMS'],365,"KLM, Air France",878,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
12:00 – 19:05,BIOBilbao,CDGCharles de Gaulle,['AMS'],425,"KLM, Air France",872,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
11:35 – 18:35,BIOBilbao,CDGCharles de Gaulle,"['MUC', 'FRA']",420,Lufthansa,885,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
13:40 – 20:00,BIOBilbao,CDGCharles de Gaulle,"['MAD', 'MRS']",380,"Iberia, Air France",929,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
17:35 – 22:20,BIOBilbao,CDGCharles de Gaulle,['MAD'],285,"Iberia, Air France",1140,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
17:40 – 22:20,BIOBilbao,CDGCharles de Gaulle,['MAD'],280,"Vueling, Air France",1156,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
13:40 – 19:55,BIOBilbao,CDGCharles de Gaulle,"['MAD', 'TLS']",375,"Iberia, Air France",1110,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
11:35 – 17:05,BIOBilbao,CDGCharles de Gaulle,['MUC'],330,"Lufthansa, Air France",2592,2024-05-22 00:01:55,2024-05-22,BIO,CDG,False,True
15:10 – 16:50,BIOBilbao,CDGCharles de Gaulle,['directo'],100,Iberia,149,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
7:10 – 8:55,BIOBilbao,CDGCharles de Gaulle,['directo'],105,Air France,207,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
10:30 – 12:10,BIOBilbao,CDGCharles de Gaulle,['directo'],100,Air France,229,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
14:20 – 20:00,BIOBilbao,CDGCharles de Gaulle,['BCN'],340,Vueling,126,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
14:55 – 19:55,BIOBilbao,CDGCharles de Gaulle,['SVQ'],300,"Volotea, Vueling",163,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
13:55 – 19:20,BIOBilbao,CDGCharles de Gaulle,['LGW'],325,"Vueling, easyJet",148,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
13:55 – 20:20,BIOBilbao,CDGCharles de Gaulle,['LGW'],385,"Vueling, easyJet",141,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
14:20 – 20:05,BIOBilbao,CDGCharles de Gaulle,['BCN'],345,"Vueling, easyJet",170,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
13:40 – 18:00,BIOBilbao,CDGCharles de Gaulle,['MAD'],260,Iberia,246,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
18:35 – 23:30,BIOBilbao,CDGCharles de Gaulle,['MUC'],295,Lufthansa,234,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
13:55 – 21:20,BIOBilbao,CDGCharles de Gaulle,['LGW-LTN'],445,"Vueling, easyJet",150,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
11:35 – 17:25,BIOBilbao,CDGCharles de Gaulle,['MUC'],350,Lufthansa,234,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
6:45 – 13:40,BIOBilbao,CDGCharles de Gaulle,['FRA'],415,Lufthansa,242,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
8:50 – 15:00,BIOBilbao,CDGCharles de Gaulle,['AGP'],370,"Vueling, Air France",257,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
12:00 – 17:05,BIOBilbao,CDGCharles de Gaulle,['AMS'],305,KLM,326,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
14:05 – 21:25,BIOBilbao,CDGCharles de Gaulle,['FRA'],440,Lufthansa,242,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
6:50 – 12:55,BIOBilbao,CDGCharles de Gaulle,['AMS'],365,KLM,326,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
12:00 – 18:10,BIOBilbao,CDGCharles de Gaulle,['AMS'],370,KLM,326,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
7:00 – 13:40,BIOBilbao,CDGCharles de Gaulle,['CPH'],400,"Vueling, Scandinavian Airlines",289,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
11:35 – 19:20,BIOBilbao,CDGCharles de Gaulle,"['MUC', 'ZRH']",465,SWISS,270,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
15:55 – 20:00,BIOBilbao,CDGCharles de Gaulle,['BCN'],245,Iberia,424,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
6:50 – 11:55,BIOBilbao,CDGCharles de Gaulle,['AMS'],305,KLM,389,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
14:20 – 20:00,BIOBilbao,CDGCharles de Gaulle,['BCN'],340,Iberia,375,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
12:00 – 19:05,BIOBilbao,CDGCharles de Gaulle,['AMS'],425,KLM,326,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
6:45 – 13:45,BIOBilbao,CDGCharles de Gaulle,"['FRA', 'MUC']",420,Lufthansa,332,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
8:55 – 14:10,BIOBilbao,CDGCharles de Gaulle,['BCN'],315,Iberia,418,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
7:15 – 13:20,BIOBilbao,CDGCharles de Gaulle,['FCO'],365,"Volotea, ITA Airways",398,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
11:35 – 19:25,BIOBilbao,CDGCharles de Gaulle,"['MUC', 'LUX']",470,"Lufthansa, Luxair",355,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
13:40 – 18:45,BIOBilbao,CDGCharles de Gaulle,['MAD'],305,"Iberia, Air France",432,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
17:15 – 21:50,BIOBilbao,CDGCharles de Gaulle,['AMS'],275,KLM,488,2024-05-22 00:07:24,2024-05-22,BIO,CDG,False,True
